LGA,speaks_english_only,pop
Tasman,2298,2593
Waratah-Wynyard,13160,14300
West Coast,3662,4263
West Tamar,22593,25145
No usual address (Tas.),978,1377
Migratory - Offshore - Shipping (Tas.),11,19
Alice Springs,17658,25912
Barkly,2598,6316
Belyuen,34,149
Central Desert,568,3591
Coomalie,901,1276
Darwin,48953,80530
Darwin Waterfront Precinct,200,293
East Arnhem,504,8778
Katherine,6314,9643
Litchfield,16923,21411
MacDonnell,902,5748
Palmerston,27015,37247
Roper Gulf,1587,6486
Tiwi Islands,291,2348
Victoria Daly,945,2815
Wagait,354,423
West Arnhem,1037,6281
West Daly,355,2973
Unincorporated NT,4442,4442
Unincorporated ACT,323454,323454
